"lap.distance";"r";"vmax";"slope";"vmin";"vdop"
1;500;400;0;0;Inf
6;500;400;0;0;Inf
11;500;400;0;0;Inf
16;500;400;0;0;Inf
21;500;400;0;0;Inf
26;500;400;0;0;Inf
31;412,71070964424;400;0;0;400,57698874209
36;359,101210480173;400;0;0;373,655657838459
41;308,069485355742;400;0;0;346,088739929967
46;268,087383655424;400;0;0;322,850390684646
51;241,74385870826;400;0;0;306,577905703871
56;214,709740029992;400;0;0;288,927580759714
61;192,395257286172;400;0;0;273,501875739205
66;175,187306268784;400;0;0;260,984337992346
71;160,786701789006;400;0;0;250,027737772363
76;147,137374859551;400;0;0;239,179872366789
81;135,710076053536;400;0;0;229,704326405958
86;127,823673017065;400;0;0;222,930132707615
91;119,410509442053;400;0;0;215,4688053317
96;112,531379958226;400;0;0;209,17026683484
101;109,823635308277;400;0;0;206,63840254865
106;114,053731370327;400;0;0;210,580366503583
111;118,671565749123;400;0;0;214,801081848437
116;122,996195588779;400;0;0;218,679950715463
121;128,446380664891;400;0;0;223,472487797737
126;134,283116675524;400;0;0;228,493491731042
131;140,307760208885;400;0;0;233,562961895105
136;145,617836701988;400;0;0;237,941620801685
141;152,207123237329;400;0;0;243,265553489748
146;159,020740913006;400;0;0;248,650887927183
151;164,658751632174;400;0;0;253,020399641193
156;171,379764511677;400;0;0;258,132625683272
161;178,268294174664;400;0;0;263,26927806926
166;183,699616620724;400;0;0;267,249716449125
171;189,983246236634;400;0;0;271,782056318667
176;196,186409222166;400;0;0;276,183409902873
181;201,376914807795;400;0;0;279,813052728551
186;206,072820884685;400;0;0;283,05673063887
191;210,746419979538;400;0;0;286,24850757348
196;214,733165252536;400;0;0;288,943341591714
201;217,817753197602;400;0;0;291,011241094271
206;224,15038897176;400;0;0;295,211231548226
211;231,202603230523;400;0;0;299,819232431856
216;237,516485937148;400;0;0;303,885520767876
221;246,043154851955;400;0;0;309,292060367608
226;255,409424662885;400;0;0;315,124077640744
231;265,102684136005;400;0;0;321,048163975561
236;275,232404827088;400;0;0;327,124378481292
241;287,580714237287;400;0;0;334,382089375997
246;301,204092726089;400;0;0;342,210682550828
251;313,383620297869;400;0;0;349,060956813866
256;329,645963262522;400;0;0;358,003282829178
261;347,682736248699;400;0;0;367,667033949869
266;363,613646926929;400;0;0;375,995991900432
271;385,185266394168;400;0;0;386,988412712904
276;409,402317271626;400;0;0;398,968195418141
281;431,401442792368;400;0;0;409,54716573024
286;460,886724494196;400;0;0;423,311656446339
291;495,608367769931;400;0;0;438,967576694395
296;500;400;0;0;Inf
301;500;400;0;0;Inf
306;500;400;0;0;Inf
311;500;400;0;0;Inf
316;500;400;0;0;Inf
321;500;400;0;0;Inf
326;500;400;0;0;Inf
331;500;400;0;0;Inf
336;500;400;0;0;Inf
341;500;400;0;0;Inf
346;500;400;0;0;Inf
351;500;400;0;0;Inf
356;500;400;0;0;Inf
361;500;400;0;0;Inf
366;500;400;0;0;Inf
371;500;400;0;0;Inf
376;500;400;0;0;Inf
381;500;400;0;0;Inf
386;500;400;0;0;Inf
391;500;400;0;0;Inf
396;500;400;0;0;Inf
401;500;400;0;0;Inf
406;500;400;0;0;Inf
411;500;400;0;0;Inf
416;500;400;0;0;Inf
421;500;400;0;0;Inf
426;500;400;0;0;Inf
431;500;400;0;0;Inf
436;500;400;0;0;Inf
441;500;400;0;0;Inf
446;500;400;0;0;Inf
451;500;400;0;0;Inf
456;500;400;0;0;Inf
461;500;400;0;0;Inf
466;500;400;0;0;Inf
471;500;400;0;0;Inf
476;500;400;0;0;Inf
481;500;400;0;0;Inf
486;500;400;0;0;Inf
491;500;400;0;0;Inf
496;500;400;0;0;Inf
501;499,77055593954;400;0;0;440,806978335522
506;499,386280165334;400;0;0;440,637476536304
511;499,002004391128;400;0;0;440,467909509048
516;498,617728616922;400;0;0;440,298277178391
521;498,233452842716;400;0;0;440,128579468827
526;497,849177068511;400;0;0;439,958816304705
531;497,464901294305;400;0;0;439,788987610224
536;497,080625520099;400;0;0;439,61909330944
541;474,142912708625;400;0;0;429,356220941439
546;428,126945394142;400;0;0;407,989897386249
551;381,905407722099;400;0;0;385,337284106213
556;344,558211664755;400;0;0;366,011246678646
561;315,768265081676;400;0;0;350,386502970299
566;292,251137500866;400;0;0;337,086401773101
571;269,601845103045;400;0;0;323,761018926096
576;250,433771546513;400;0;0;312,039501309184
581;236,628602952492;400;0;0;303,316997261823
586;222,181071747991;400;0;0;293,911552504523
591;209,620438395106;400;0;0;285,482795362553
596;200,934313935847;400;0;0;279,505386814382
601;198,900449760046;400;0;0;278,087207305021
606;226,654122347001;400;0;0;296,855390330905
611;256,029037711849;400;0;0;315,506085301642
616;301,760872905872;400;0;0;342,526827249784
621;367,44508910591;400;0;0;377,971759056649
626;467,301149126869;400;0;0;426,24721322318
631;500;400;0;0;Inf
636;500;400;0;0;Inf
641;500;400;0;0;Inf
646;500;400;0;0;Inf
651;500;400;0;0;Inf
656;500;400;0;0;Inf
661;500;400;0;0;Inf
666;477,867435166901;400;0;0;431,039277552396
671;371,450446559003;400;0;0;380,026227545074
676;306,330905929755;400;0;0;345,110788335411
681;261,791147824467;400;0;0;319,03667230297
686;224,187536114716;400;0;0;295,235692356804
691;195,422512150939;400;0;0;275,645193544682
696;176,877688780802;400;0;0;262,240434330741
701;162,837224913073;400;0;0;251,61699673552
706;165,947584584763;400;0;0;254,008702383513
711;168,999893284263;400;0;0;256,334075980782
716;173,24778467436;400;0;0;259,535621218728
721;178,138822897649;400;0;0;263,173658147251
726;183,245550861382;400;0;0;266,919220317506
731;188,775797660978;400;0;0;270,917017056124
736;195,594766386851;400;0;0;275,76664985311
741;203,105490706432;400;0;0;281,011413979327
746;209,899116927225;400;0;0;285,672498958694
751;218,718666097787;400;0;0;291,612443799677
756;228,495423758935;400;0;0;298,058753868216
761;237,065131199627;400;0;0;303,596645255535
766;248,35805609558;400;0;0;310,743643877009
771;260,786333940119;400;0;0;318,423816062678
776;271,796857713817;400;0;0;325,076326851298
781;285,767126279409;400;0;0;333,326054633349
786;301,118345390714;400;0;0;342,161968500167
791;317,783253615443;400;0;0;351,502672828649
796;332,238451691152;400;0;0;359,40827761408
801;370,511551636641;400;0;0;379,545637936106
806;496,017058882579;400;0;0;439,148531243754
811;500;400;0;0;Inf
816;500;400;0;0;Inf
821;500;400;0;0;Inf
826;498,304373976073;400;0;0;440,159903446347
831;496,424891424902;400;0;0;439,329031348945
836;479,667766705783;400;0;0;431,850469138576
841;353,736181058886;400;0;0;370,853916246943
846;282,014204683313;400;0;0;331,130069279237
851;226,799851110218;400;0;0;296,95080756188
856;187,740200132032;400;0;0;270,172888742253
861;163,704886334951;400;0;0;252,286463780816
866;140,175214077897;400;0;0;233,452614535555
871;121,968642411231;400;0;0;217,764570510188
876;110,015205706563;400;0;0;206,818548439717
881;98,0357299237081;400;0;0;195,233941194501
886;88,6856502040016;400;0;0;185,690551184803
891;81,7743171822916;400;0;0;178,30831309974
896;76,9854848466911;400;0;0;173,008544610934
901;76,2590855369459;400;0;0;172,190395948103
906;88,5490191470959;400;0;0;185,547456582921
911;101,504702908929;400;0;0;198,658069282352
916;122,804194052048;400;0;0;218,509200372516
921;153,114255256574;400;0;0;243,989390022919
926;188,61900129758;400;0;0;270,804482430589
931;257,573916585182;400;0;0;316,456535354097
936;392,660271990345;400;0;0;390,72536870524
941;500;400;0;0;Inf
946;500;400;0;0;Inf
951;497,532982527324;400;0;0;439,819080539514
956;457,573333343934;400;0;0;421,787282885724
961;308,889448542784;400;0;0;346,549011820023
966;218,481847518669;400;0;0;291,454528726624
971;166,749710897498;400;0;0;254,621852159133
976;138,489591558028;400;0;0;232,044722408766
981;113,674950378193;400;0;0;210,230399103083
986;95,5330804502208;400;0;0;192,725871846636
991;84,330217169711;400;0;0;181,073433820601
996;74,2800755665943;400;0;0;169,941441032762
1001;69,1254692177409;400;0;0;163,938959469242
1006;71,9535036704961;400;0;0;167,258847978482
1011;74,829464903287;400;0;0;170,568742606604
1016;78,6041183798205;400;0;0;174,817851565778
1021;82,5927933062918;400;0;0;179,198432017376
1026;85,8771908259138;400;0;0;182,726713408618
1031;90,1018122988985;400;0;0;187,167263755743
1036;93,9697710223347;400;0;0;191,142478202737
1041;96,9061709692035;400;0;0;194,105948576612
1046;100,406878734142;400;0;0;197,580855479053
1051;103,381457323821;400;0;0;200,486185577714
1056;105,492675512444;400;0;0;202,522967189497
1061;106,985239252888;400;0;0;203,950633785539
1066;107,997120476718;400;0;0;204,912860605058
1071;108,168007963136;400;0;0;205,074916789127
1076;107,718309045957;400;0;0;204,648182393756
1081;106,46608656382;400;0;0;203,45519029018
1086;104,627579007965;400;0;0;201,690859282955
1091;102,595403970481;400;0;0;199,722540199455
1096;99,3815392644526;400;0;0;196,569434210966
1101;100,579617756815;400;0;0;197,750740539321
1106;115,378993267966;400;0;0;211,80026577553
1111;140,626649343084;400;0;0;233,828230255868
1116;182,752400551747;400;0;0;266,559811926928
1121;261,317841989724;400;0;0;318,748140332779
1126;398,844057219782;400;0;0;393,790006789217
1131;490,410639105889;400;0;0;436,659657495823
1136;500;400;0;0;Inf
1141;484,873157252255;400;0;0;434,187382980755
1146;275,837088913759;400;0;0;327,483526562283
1151;208,854951107819;400;0;0;284,961058726837
1156;211,318084567969;400;0;0;286,63647932534
1161;214,23495039638;400;0;0;288,607949845656
1166;217,047118666862;400;0;0;290,495989193786
1171;219,801858872563;400;0;0;292,333649670462
1176;222,222056439783;400;0;0;293,938659491717
1181;225,016346509954;400;0;0;295,780924880341
1186;227,699104498087;400;0;0;297,538924896989
1191;229,730416157225;400;0;0;298,863155644735
1196;232,233781754465;400;0;0;300,487095140766
1201;234,507987798897;400;0;0;301,954807307668
1206;236,295975484165;400;0;0;303,103736810095
1211;238,324677581691;400;0;0;304,402093691488
1216;240,047242094222;400;0;0;305,500192677899
1221;241,537530184773;400;0;0;306,447045565526
1226;242,789430853343;400;0;0;307,24018408369
1231;243,803241712774;400;0;0;307,880984112248
1236;244,819984959014;400;0;0;308,522300899084
1241;245,364136464896;400;0;0;308,864980626732
1246;245,633621860346;400;0;0;309,034548520554
1251;252,988143552865;400;0;0;313,626832738135
1256;277,067465509302;400;0;0;328,21308717054
1261;314,230749172681;400;0;0;349,53242378689
1266;363,827073100293;400;0;0;376,106322761788
1271;419,753304714233;400;0;0;403,980302580329
1276;495,002561343367;400;0;0;438,69920885534
1281;496,104627334247;400;0;0;439,187293882183
1286;497,206693325126;400;0;0;439,674837083963
1291;498,308759316006;400;0;0;440,161840261128
1296;499,410825306885;400;0;0;440,648305204181
1301;500;400;0;0;Inf
1306;500;400;0;0;Inf
1311;500;400;0;0;Inf
1316;500;400;0;0;Inf
1321;500;400;0;0;Inf
1326;500;400;0;0;Inf
1331;500;400;0;0;Inf
1336;500;400;0;0;Inf
1341;500;400;0;0;Inf
1346;500;400;0;0;Inf
1351;500;400;0;0;Inf
1356;500;400;0;0;Inf
1361;500;400;0;0;Inf
1366;500;400;0;0;Inf
1371;500;400;0;0;Inf
1376;500;400;0;0;Inf
1381;500;400;0;0;Inf
1386;500;400;0;0;Inf
1391;500;400;0;0;Inf
1396;500;400;0;0;Inf
1401;500;400;0;0;Inf
1406;500;400;0;0;Inf
1411;500;400;0;0;Inf
1416;500;400;0;0;Inf
1421;500;400;0;0;Inf
1426;500;400;0;0;Inf
1431;500;400;0;0;Inf
1436;500;400;0;0;Inf
1441;500;400;0;0;Inf
1446;500;400;0;0;Inf
1451;500;400;0;0;Inf
1456;500;400;0;0;Inf
1461;500;400;0;0;Inf
1466;500;400;0;0;Inf
1471;500;400;0;0;Inf
1476;500;400;0;0;Inf
1481;500;400;0;0;Inf
1486;500;400;0;0;Inf
1491;500;400;0;0;Inf
1496;500;400;0;0;Inf
1501;500;400;0;0;Inf
1506;500;400;0;0;Inf
1511;500;400;0;0;Inf
1516;500;400;0;0;Inf
1521;500;400;0;0;Inf
1526;500;400;0;0;Inf
1531;500;400;0;0;Inf
1536;500;400;0;0;Inf
1541;500;400;0;0;Inf
1546;500;400;0;0;Inf
1551;500;400;0;0;Inf
1556;500;400;0;0;Inf
1561;500;400;0;0;Inf
1566;500;400;0;0;Inf
1571;500;400;0;0;Inf
1576;500;400;0;0;Inf
1581;500;400;0;0;Inf
1586;500;400;0;0;Inf
1591;500;400;0;0;Inf
1596;500;400;0;0;Inf
1601;500;400;0;0;Inf
1606;500;400;0;0;Inf
1611;500;400;0;0;Inf
1616;500;400;0;0;Inf
1621;500;400;0;0;Inf
1626;500;400;0;0;Inf
1631;500;400;0;0;Inf
1636;500;400;0;0;Inf
1641;500;400;0;0;Inf
1646;500;400;0;0;Inf
1651;500;400;0;0;Inf
1656;500;400;0;0;Inf
1661;500;400;0;0;Inf
1666;500;400;0;0;Inf
1671;500;400;0;0;Inf
1676;500;400;0;0;Inf
1681;500;400;0;0;Inf
1686;500;400;0;0;Inf
1691;500;400;0;0;Inf
1696;500;400;0;0;Inf
1701;500;400;0;0;Inf
1706;500;400;0;0;Inf
1711;500;400;0;0;Inf
1716;500;400;0;0;Inf
1721;500;400;0;0;Inf
1726;500;400;0;0;Inf
1731;500;400;0;0;Inf
1736;500;400;0;0;Inf
1741;500;400;0;0;Inf
1746;500;400;0;0;Inf
1751;500;400;0;0;Inf
1756;500;400;0;0;Inf
1761;500;400;0;0;Inf
1766;500;400;0;0;Inf
1771;500;400;0;0;Inf
1776;500;400;0;0;Inf
1781;500;400;0;0;Inf
1786;500;400;0;0;Inf
1791;500;400;0;0;Inf
1796;500;400;0;0;Inf
1801;500;400;0;0;Inf
1806;500;400;0;0;Inf
1811;500;400;0;0;Inf
1816;500;400;0;0;Inf
1821;500;400;0;0;Inf
1826;500;400;0;0;Inf
1831;500;400;0;0;Inf
1836;500;400;0;0;Inf
1841;500;400;0;0;Inf
1846;500;400;0;0;Inf
1851;500;400;0;0;Inf
1856;500;400;0;0;Inf
1861;500;400;0;0;Inf
1866;500;400;0;0;Inf
1871;483,286931739375;400;0;0;433,47659574684
1876;447,436270182397;400;0;0;417,08898552577
1881;417,828300710964;400;0;0;403,052903867995
1886;394,148327092086;400;0;0;391,465029821826
1891;369,83462288647;400;0;0;379,198762363829
1896;348,213369045538;400;0;0;367,947493380381
1901;332,370784909249;400;0;0;359,479848075961
1906;315,023697644374;400;0;0;349,97316131974
1911;299,29710773505;400;0;0;341,125659379923
1916;287,937871833493;400;0;0;334,589665962447
1921;275,117455132719;400;0;0;327,056060264293
1926;263,793183915647;400;0;0;320,254258217441
1931;255,035018203383;400;0;0;314,89302163985
1936;246,13296776084;400;0;0;309,348505516698
1941;238,113847070659;400;0;0;304,267421425746
1946;230,837847772289;400;0;0;299,582635033918
1951;225,110921269411;400;0;0;295,843076967414
1956;214,14471994612;400;0;0;288,547166187872
1961;203,194980284905;400;0;0;281,073314874911
1966;194,430012884565;400;0;0;274,944338020478
1971;183,827167845371;400;0;0;267,342482329839
1976;173,348933559016;400;0;0;259,611373725701
1981;164,800263821398;400;0;0;253,129102581587
1986;155,679178510339;400;0;0;246,024520332466
1991;146,649935318907;400;0;0;238,783363850983
1996;138,266194908027;400;0;0;231,857491964872
2001;131,427193918406;400;0;0;226,050642546037
2006;123,922647065532;400;0;0;219,501993565158
2011;116,967862351695;400;0;0;213,253616340589
2016;111,878140088177;400;0;0;208,562270955902
2021;106,302127068306;400;0;0;203,298467786054
2026;101,3651530329;400;0;0;198,521463573064
2031;98,0772555360984;400;0;0;195,275285052756
2036;94,5288816730622;400;0;0;191,710274097364
2041;91,5945981496196;400;0;0;188,711366272867
2046;89,6887661991718;400;0;0;186,737763449812
2051;89,1611336557027;400;0;0;186,187670819894
2056;91,1933086931877;400;0;0;188,297526324462
2061;92,4333176753017;400;0;0;189,573399801125
2066;92,811312661602;400;0;0;189,960623190257
2071;92,3435960534334;400;0;0;189,481371500142
2076;92,6107569317543;400;0;0;189,755269479048
2081;97,0525546208396;400;0;0;194,252498662392
2086;102,601042736649;400;0;0;199,728028618943
2091;107,871542265125;400;0;0;204,79369041228
2096;112,412354698253;400;0;0;209,059617111198
2101;116,38249832754;400;0;0;212,719334687159
2106;117,654019996459;400;0;0;213,878196585401
2111;119,359808657136;400;0;0;215,423057275433
2116;120,773994372293;400;0;0;216,695475291819
2121;122,812610243013;400;0;0;218,516687835239
2126;124,772972424142;400;0;0;220,253789248917
2131;126,401473619126;400;0;0;221,686474425293
2136;128,453204972841;400;0;0;223,478424223549
2141;130,648702284543;400;0;0;225,380157618701
2146;132,375373803301;400;0;0;226,864596917905
2151;134,289775317634;400;0;0;228,499156767582
2156;136,084918471476;400;0;0;230,021338796447
2161;137,786955656632;400;0;0;231,455326919254
2166;139,03917813877;400;0;0;232,504693415754
2171;140,531569793583;400;0;0;233,749169700654
2176;155,498128802281;400;0;0;245,881419546754
2181;227,760064342275;400;0;0;297,578750948848
2186;494,63476667859;400;0;0;438,53619837436
2191;500;400;0;0;Inf
2196;500;400;0;0;Inf
2201;500;400;0;0;Inf
2206;500;400;0;0;Inf
2211;500;400;0;0;Inf
2216;500;400;0;0;Inf
2221;500;400;0;0;Inf
2226;500;400;0;0;Inf
2231;500;400;0;0;Inf
2236;500;400;0;0;Inf
2241;500;400;0;0;Inf
2246;500;400;0;0;Inf
2251;477,686547770671;400;0;0;430,957689075432
2256;437,193748820776;400;0;0;412,287435585318
2261;407,457952767878;400;0;0;398,019662876284
2266;378,690627649928;400;0;0;383,712022264474
2271;352,569137162352;400;0;0;370,241651531432
2276;329,902468848605;400;0;0;358,142541299323
2281;313,662350716377;400;0;0;349,21615363343
2286;322,501481122098;400;0;0;354,102493439783
2291;342,638583608148;400;0;0;364,990248235275
2296;361,572773102417;400;0;0;374,939320666984
2301;388,023654696524;400;0;0;388,411633381402
2306;418,973686681135;400;0;0;403,604966993254
2311;450,10292515476;400;0;0;418,330033944696
2316;490,330759470107;400;0;0;436,624093794625
2321;500;400;0;0;Inf
2326;500;400;0;0;Inf
2331;500;400;0;0;Inf
2336;500;400;0;0;Inf
2341;500;400;0;0;Inf
2346;500;400;0;0;Inf
2351;500;400;0;0;Inf
2356;500;400;0;0;Inf
2361;500;400;0;0;Inf
2366;500;400;0;0;Inf
2371;500;400;0;0;Inf
2376;500;400;0;0;Inf
2381;500;400;0;0;Inf
2386;500;400;0;0;Inf
2391;500;400;0;0;Inf
2396;500;400;0;0;Inf
2401;500;400;0;0;Inf
2406;500;400;0;0;Inf
2411;500;400;0;0;Inf
2416;500;400;0;0;Inf
2421;500;400;0;0;Inf
2426;500;400;0;0;Inf
2431;500;400;0;0;Inf
2436;500;400;0;0;Inf
2441;500;400;0;0;Inf
2446;500;400;0;0;Inf
2451;500;400;0;0;Inf
2456;500;400;0;0;Inf
2461;500;400;0;0;Inf
2466;500;400;0;0;Inf
2471;250,774777782036;400;0;0;312,251875257228
2476;139,219142217666;400;0;0;232,655114910953
2481;90,3673809767166;400;0;0;187,442891899766
2486;63,6448551487221;400;0;0;157,30581579148
2491;48,5126160004732;400;0;0;137,337923025594
2496;40,4254196988889;400;0;0;125,369067871337
2501;35,8808608068958;400;0;0;118,112144514106
2506;38,1512288187304;400;0;0;121,791616151205
2511;39,5795497149308;400;0;0;124,050509588494
2516;40,3575595248946;400;0;0;125,263798215123
2521;39,8847161501172;400;0;0;124,527818736078
2526;39,5150672660548;400;0;0;123,949417719657
2531;46,8403465056833;400;0;0;134,950089742133
2536;58,0155751507192;400;0;0;150,188067497387
2541;73,4161253766958;400;0;0;168,950257609923
2546;92,5702315405837;400;0;0;189,713747585616
2551;145,447719683295;400;0;0;237,80259336867
2556;495,56600086577;400;0;0;438,94881380021
2561;130,498869399063;400;0;0;225,250883288736
2566;58,9626148268581;400;0;0;151,408931852392
2571;36,615881954039;400;0;0;119,315778100511
2576;29,2568434442769;400;0;0;106,653929750079
2581;34,9257355401576;400;0;0;116,529506898525
2586;42,6282379224961;400;0;0;128,739500170952
2591;51,6166002014152;400;0;0;141,663453855644
2596;60,0915819400985;400;0;0;152,851585069669
2601;67,5418830933242;400;0;0;162,050251917991
2606;67,0674110203262;400;0;0;161,480058845366
